"Document","Genre","WordCount","SentimentGI","PositivityGI","NegativityGI","SentimentLM"
"1","cars",571,0.0612959719789842,0.166374781085814,0.10507880910683,-0.0245183887915937
"2","cars",214,0.0373831775700935,0.11214953271028,0.0747663551401869,-0.0280373831775701
"3","cars",1107,0.046973803071364,0.148148148148148,0.101174345076784,0.017163504968383
"4","cars",534,0.0730337078651685,0.110486891385768,0.0374531835205993,-0.00561797752808989
"5","cars",164,0.0182926829268293,0.128048780487805,0.109756097560976,-0.170731707317073
"6","cars",137,-0.0437956204379562,0.072992700729927,0.116788321167883,-0.102189781021898
"7","cars",661,0.107413010590015,0.170953101361573,0.0635400907715582,-0.0211800302571861
"8","crypto",421,0.201900237529691,0.244655581947743,0.0427553444180523,0.0237529691211401
"9","crypto",267,0.0224719101123595,0.101123595505618,0.0786516853932584,-0.0337078651685393
"10","crypto",754,0.104774535809019,0.1657824933687,0.0610079575596817,0.0026525198938992
"11","crypto",142,0.0845070422535211,0.211267605633803,0.126760563380282,-0.0845070422535211
"12","crypto",313,0.0862619808306709,0.156549520766773,0.0702875399361022,-0.0223642172523962
"13","crypto",624,0.0881410256410256,0.145833333333333,0.0576923076923077,-0.0176282051282051
"14","crypto",588,-0.0255102040816327,0.130952380952381,0.156462585034014,-0.076530612244898
"15","golf",625,0.1088,0.1776,0.0688,0.0032
"16","golf",252,0.194444444444444,0.222222222222222,0.0277777777777778,0.0119047619047619
"17","golf",457,0.113785557986871,0.201312910284464,0.087527352297593,0.00218818380743982
"18","golf",203,0.0640394088669951,0.157635467980296,0.0935960591133005,-0.0394088669950739
"19","golf",377,0.124668435013263,0.220159151193634,0.0954907161803713,0
"20","golf",189,-0.0317460317460317,0.17989417989418,0.211640211640212,-0.0264550264550265
"21","golf",957,0.0417972831765935,0.144200626959248,0.102403343782654,0.00313479623824451
